Date,Close,High,Low,Open,Volume
2020-01-02,296.12530517578125,296.1435533670269,293.9923531023892,294.9129966046256,59151200
2020-01-03,293.8829650878906,295.0041439336054,292.688876931802,292.74356586892327,77709700
2020-01-06,295.004150390625,295.0861837981025,292.01434006994486,292.1328420420894,55653900
2020-01-07,294.1746520996094,294.9129805533922,293.7279886988713,294.43897268463854,40496400
2020-01-08,295.74249267578125,296.95480128822834,294.1199891894408,294.3660894233574,68296000
2020-01-09,297.747802734375,297.8207398631898,296.7177813744384,297.3011671355,48473300
2020-01-10,296.8909912109375,298.48615024274386,296.4261352089056,298.33120751452185,53029300
2020-01-13,298.9328308105469,298.94192708972656,297.0824473403548,297.51086261756024,47086800
2020-01-14,298.4770202636719,299.54348231822837,297.9209789989077,298.49524063629786,62832800
2020-01-15,299.1514892578125,299.9080379561586,298.3037830757557,298.3858164658878,72056600
2020-01-16,301.6400146484375,301.6400146484375,300.30008000636747,300.52795985830204,54050300
2020-01-17,302.578857421875,302.7884890679203,301.5761805798231,302.35097758583424,95846000
2020-01-21,301.9862976074219,302.7884389482875,301.5487861977557,301.62169549358066,77742400
2020-01-22,302.02276611328125,303.4903264792452,301.8678234281699,302.8431278236257,48914900
2020-01-23,302.3692321777344,302.77942705597485,300.2636244798141,301.37567931823935,51963000
2020-01-24,299.6802062988281,303.1075279519649,298.39496067890184,303.0254945486543,87578400
2020-01-27,294.87652587890625,296.35318285602233,294.1108529210448,294.44811064824233,84062500
2020-01-28,297.9665832519531,298.84163406721996,294.9676767051918,296.298487210109,63834000
2020-01-29,297.720458984375,299.5526218615138,297.5199236056963,299.32474201380455,53888900
2020-01-30,298.68658447265625,298.89624388865093,294.9129097062482,295.6603342582397,75491800
2020-01-31,293.26312255859375,298.22178991387807,292.3516032332454,298.0668193889295,113845600
2020-02-03,295.4416198730469,297.30112696346464,294.6212580975968,294.73976005288546,69083000
2020-02-04,299.9446716308594,300.81062647677635,298.72323856534797,299.0422760252844,62573200
2020-02-05,303.4083251953125,303.6179846653886,301.41212336008243,302.870532103236,65951100
2020-02-06,304.4292297363281,304.6206410029242,303.35361580732535,304.3654167083422,50359700
2020-02-07,302.80670166015625,304.4383010658972,302.2597845544811,303.37183913632214,64139400
2020-02-10,305.06732177734375,305.1311348147873,301.88612780958465,301.9225963763189,42070000
2020-02-11,305.5959777832031,307.2002328793031,305.0672809970112,306.41633961218275,54864500
2020-02-12,307.5648193359375,307.77445094789596,306.66239641614675,307.0269985310537,43992700
2020-02-13,307.2366943359375,308.20290257264736,305.8694153801374,306.1428600443528,54501900
2020-02-14,307.72894287109375,307.8474448392001,306.4528213248784,307.64690946641167,64582200
2020-02-18,306.9359130859375,307.79274347896046,305.550385905375,306.7353777212436,57226200
2020-02-19,308.403564453125,309.07808011314717,307.61967088254494,307.9022397572771,48814700
2020-02-20,307.136474609375,308.67694462905206,304.1557883522253,307.85655491074664,74163400
2020-02-21,303.97344970703125,306.0972773213097,303.153060127596,305.7873641141862,113788200
2020-02-24,293.8921203613281,304.04643281297626,292.81650624331786,294.5484154937722,161088400
2020-02-25,284.9864807128906,295.88824287722144,284.11143004396996,295.2775405729495,218913200
2020-02-26,283.938232421875,289.9633610159589,283.2090281846531,286.3810972156628,194773800
2020-02-27,271.1861572265625,283.99299421889395,271.1861572265625,278.43272007694435,284353500
2020-02-28,270.0467224121094,271.5325033532073,260.27523419743306,263.155638584235,384975800
2020-03-02,281.74151611328125,281.80532914475464,268.40598340350584,271.8241810091955,238703600
