Date,Close,High,Low,Open,Volume
2020-01-02,112.4310302734375,112.85774816587896,112.15202771821639,112.25049626207506,11034100
2020-01-03,114.16243743896484,114.19526861469066,113.14489637711014,113.4649314726007,12366000
2020-01-06,113.51422119140625,114.64665940032147,113.36650587129819,114.63024380443593,11369800
2020-01-07,112.95619201660156,113.6290936430203,112.94799048021704,113.42394254054088,8381200
2020-01-08,112.20948791503906,113.49783074534082,111.86483545365707,113.18599696157125,10621700
2020-01-09,112.60332489013672,112.78385884080487,111.52833524297614,111.6021866260418,7411500
2020-01-10,113.6044921875,113.62910932147982,112.93980452718229,112.97262319867826,8776000
2020-01-13,113.25984191894531,113.31727772550056,112.74285705279034,113.14495778440327,5966900
2020-01-14,113.84245300292969,113.91631692046955,113.3582993776378,113.39111804654306,13920300
2020-01-15,114.59739685058594,114.68766383339445,114.08042460489088,114.49072679557888,6290500
2020-01-16,114.23635864257812,114.49894557301583,113.85067352354032,114.27737885068046,6798600
2020-01-17,113.25984191894531,113.35831045671519,112.71823991834786,112.89877391854702,9693100
2020-01-21,114.44969177246094,114.59739454785466,113.87527122132603,113.90808988649277,6794900
2020-01-22,114.851806640625,114.9995094343082,114.54817447344766,114.65485706095028,6317000
2020-01-23,115.65601348876953,116.01708151358052,115.52471374857784,115.58216208044885,9747400
2020-01-24,116.59149169921875,116.97717682531687,115.95142117536045,116.04988971089826,8585000
2020-01-27,118.40497589111328,118.40497589111328,117.75670407497144,118.12597346499788,10935200
2020-01-28,117.47769927978516,118.24085516902147,117.19869685929615,118.10955549299385,10612900
2020-01-29,118.62664794921875,118.74153213979298,117.69936036151688,117.70757442462498,9566800
2020-01-30,118.64298248291016,119.53743824985577,118.40500020127162,118.90556937274717,14711800
2020-01-31,119.72618103027344,119.80004494507621,119.06149344705749,119.1271433038656,14538100
2020-02-03,119.62924194335938,119.8100759441387,118.46204864702663,119.14428373319613,15309000
2020-02-04,118.01815795898438,118.47845799717861,117.59073111970314,118.35516782346065,11388300
2020-02-05,116.72765350341797,117.29481334436215,116.63723653540899,116.96603121100279,10782600
2020-02-06,117.25370025634766,117.44276187850346,116.71942620960539,116.86737439157102,6683100
2020-02-07,118.71680450439453,118.97162506038327,118.25650453861284,118.5441982883431,11374800
2020-02-10,119.04558563232422,119.39081056745142,118.92228294977252,119.2675204271317,6699300
2020-02-11,118.445556640625,118.95517262715722,118.31403879176753,118.84831280718149,7784100
2020-02-12,117.84553527832031,117.9934960241266,117.53319600114695,117.84553527832031,5595500
2020-02-13,118.29763793945312,118.52778798557715,117.76336373428742,117.90309679498866,7883400
2020-02-14,118.81546783447266,119.25110983782362,118.73326602385589,118.98807407763832,7137400
2020-02-18,119.62924194335938,120.0484537370928,119.11962569147522,119.46485081780696,6909200
2020-02-19,119.6209716796875,119.69494577077792,119.1688868859685,119.28396187507578,5707700
2020-02-20,120.55805969238281,120.77999459115502,120.00734257058635,120.07310152363877,9332900
2020-02-21,121.68409729003906,122.37455971567272,121.36353037687181,121.48683306177135,13860300
2020-02-24,123.50071716308594,124.08432008057814,123.29522512121724,123.97746020528997,15929300
2020-02-25,124.15824890136719,124.74183906367409,123.4102551317635,123.46779890276423,20802900
2020-02-26,123.50071716308594,124.70901137265298,122.9499999959465,123.25412420439572,22589500
2020-02-27,124.84049224853516,125.82685124839747,123.97742342031744,125.51449942391758,30687900
2020-02-28,127.65982055664062,128.21053749286727,126.71456257728201,126.95292772731929,44935200
2020-03-02,126.72055053710938,128.82789297477194,126.57237134906187,127.84007777721158,28152400
2020-03-03,128.68801879882812,131.46213758545272,125.41998588296254,126.61359704107721,38608000
2020-03-04,127.32152557373047,129.52765929596973,126.92640183271644,128.75386640594755,23463700
2020-03-05,130.49073791503906,130.73769488290134,129.08309199075134,129.34651610600528,17786200
2020-03-06,137.2820281982422,139.38937153351085,135.09236166113203,137.71831353433654,76288300
2020-03-09,141.00271606445312,147.9256736507059,140.22069635982666,147.43177241866528,41552800
2020-03-10,133.77520751953125,142.3527563751197,133.38008395648586,139.64449504063438,37728300
2020-03-11,128.85255432128906,137.49595706149583,128.11169625357076,136.1788620958316,29519300
2020-03-12,129.65110778808594,136.94449759211895,128.1364565910476,134.59842490308017,24361800
2020-03-13,126.72055053710938,130.2272988847118,125.27998304378126,127.59312083763356,19812900
2020-03-16,134.9276885986328,136.7716072006406,129.9062762040507,132.02185878101915,30496700
2020-03-17,125.93031311035156,136.34356751133615,125.70806313010834,134.59018674711595,18570900
2020-03-18,118.82623291015625,126.88517280083182,114.43043495449173,125.81503453356142,47061000
2020-03-19,122.0613784790039,126.31722625638803,119.56713899400658,120.96654533755124,21175300
2020-03-20,131.2398681640625,131.2398681640625,125.21418392795634,126.19377227832823,20863100
2020-03-23,136.648193359375,137.2161908716143,128.88559418746146,129.65114731386484,19971800
2020-03-24,134.10450744628906,136.19538302726448,132.0465536001208,132.73802307785252,11948600
2020-03-25,133.7999267578125,137.20789795255234,133.0426012212874,134.66426991779625,10750600
2020-03-26,134.45848083496094,136.38472278308296,133.577683046001,135.00178371081725,10576200
2020-03-27,138.0475616455078,138.5003140699231,135.487466184638,136.25303165878665,12550000
2020-03-30,136.9115447998047,140.03139696872515,136.59873182934882,138.5414405538732,13473200
2020-03-31,135.80026245117188,137.40546397502953,135.46275499825074,136.40118147071783,11464800
2020-04-01,137.70289611816406,139.28569916061807,137.17529929697955,138.88999211055435,11334700
2020-04-02,138.57675170898438,139.5000430809918,137.8842706010773,139.17853893688908,5771200
2020-04-03,138.906494140625,140.41509436984,138.6097201188302,138.94771520066067,6570800
2020-04-06,138.5437774658203,138.71690089706516,137.2824909402866,137.66994628644684,9434800
2020-04-07,137.09288024902344,137.19180072965585,134.9577626826976,135.98822628562337,13811400
2020-04-08,136.09547424316406,137.00228783362493,135.30408472686145,136.11196519360232,10147100
2020-04-09,136.34274291992188,136.67248634575878,135.01550487573442,135.42769044748326,14259100
2020-04-13,135.097900390625,136.60650057197887,135.097900390625,135.81509901266662,8750300
2020-04-14,135.06494140625,135.80688285241192,134.7681673435659,135.06494140625,9019100
2020-04-15,138.64266967773438,138.98891646960962,137.45558633848938,137.5050465719288,10027800
2020-04-16,140.2172088623047,140.40682317946022,139.33513875736259,139.53297967418771,8265400
2020-04-17,138.33763122558594,140.83547318877405,137.8924766271226,139.99462421624352,8612100
2020-04-20,139.4506072998047,139.55776698070036,138.46136457358352,138.85705914829126,6462600
2020-04-21,141.20643615722656,141.9153953845057,140.7860116748123,141.7340328441159,7850700
2020-04-22,139.7637939453125,140.4645140267597,139.07957737779304,140.11827986451803,6230200
2020-04-23,140.50572204589844,140.9096555749417,139.8214929629292,140.03582478285225,5968600
2020-04-24,140.8354949951172,140.8354949951172,139.7885532062337,139.82152250130355,6211800
2020-04-27,138.21405029296875,139.9369827315216,138.03268765955227,139.86279235755222,9039500
2020-04-28,139.8050537109375,140.01939818899356,138.86527141633394,138.94771353541722,9905400
2020-04-29,139.07965087890625,140.3574159938011,138.46137256696184,139.75562862560182,8619600
2020-04-30,137.45559692382812,139.50827224303669,137.43086680520398,139.10433858624177,11606100
2020-05-01,138.63267517089844,138.7647486220352,137.38626503824128,138.26122961039164,10209400
2020-05-04,137.98060607910156,138.40982597434606,137.4193001153839,138.31077716701574,8300900
2020-05-05,137.09732055664062,137.24590629962734,136.4204663358758,136.66810084404412,7831800
2020-05-06,134.88523864746094,135.07508644075241,133.76263903435967,134.73665280406814,14721500
2020-05-07,137.138671875,137.3285196463224,134.82743616310233,135.00903406444422,9164800
2020-05-08,135.35562133789062,136.52774439841087,135.10798686702861,135.77660371691974,8129800
2020-05-11,134.29913330078125,135.5538060741921,133.8038766815644,135.0915615248353,8713500
2020-05-12,135.6776580810547,136.1399027700987,134.6541198682353,134.67888207691814,10057300
2020-05-13,136.62689208984375,137.26247209930378,136.05733622547487,136.27194618507198,13305600
2020-05-14,137.964111328125,138.7978016182456,137.88982471316027,138.11269715327575,10080000
2020-05-15,137.609130859375,139.0784132964527,137.2954595766673,138.92157765509884,7225600
2020-05-18,134.5880126953125,136.24714278510262,134.0679813946129,136.13983154014136,10073100
2020-05-19,135.09152221679688,135.1245342770513,134.11749640387978,134.15052105934987,8639100
2020-05-20,135.49595642089844,135.94995089122008,134.44765680195346,134.68702883437024,10927300
2020-05-21,135.83448791503906,136.4948428401617,135.61161545132535,136.08212258636289,8920000
2020-05-22,136.6516571044922,136.7589557888881,135.87574113389402,135.96654007928788,4956700
2020-05-26,134.8192138671875,135.19890948749003,134.53030462090277,135.1328853236996,8098900
2020-05-27,134.57150268554688,135.29789402663383,134.2083070150034,134.3733925211004,8047400
2020-05-28,134.0762481689453,134.1918218905342,133.4406682715153,133.6883028552292,10272600
2020-05-29,135.03379821777344,135.4465184367374,134.0102601356846,134.3074191971475,14632700
2020-06-01,134.1245880126953,134.2568312060794,133.62042187289785,133.97582387869198,13341400
2020-06-02,133.636962890625,133.9675582811491,133.27330039420505,133.62042933767708,11517100
2020-06-03,131.85997009277344,132.5129129753747,131.36407703666873,132.38893025279478,12255700
2020-06-04,129.95079040527344,131.42196164851947,129.91773590368285,131.34757956138432,14038600
2020-06-05,129.0251007080078,129.06642828960756,126.58692473051042,127.78534892845924,17778500
2020-06-08,129.52101135253906,129.63672101854087,128.14901630465488,128.1655498602002,10346700
2020-06-09,130.99217224121094,131.9426435223235,130.83513500436126,131.45501086893208,9095300
2020-06-10,132.93441772460938,132.9840057667516,131.45498648461395,131.61202369233393,13135500
2020-06-11,135.44699096679688,135.73625875647042,134.41386469352415,134.92629128941792,17086400
2020-06-12,134.14112854003906,135.26517051944384,133.93450326890883,134.2320441637926,9716100
2020-06-15,134.21554565429688,135.72804454724917,134.0089203292172,135.45529760477493,7759800
2020-06-16,132.15756225585938,133.256810576668,131.16576314736895,131.75258466126297,13698900
2020-06-17,132.7030487060547,132.8766195306852,131.69471609597645,132.4633688744698,7113900
2020-06-18,134.1080780029297,134.28990927290147,133.57085727618127,133.92624673295788,7691400
2020-06-19,134.21554565429688,134.3064613017883,132.9923272610197,133.06670935131024,8565500
2020-06-22,134.23204040527344,135.06680193716014,133.95103307114192,134.8767102242365,9319700
2020-06-23,133.31466674804688,133.9428032173107,133.16588995105235,133.46343093363197,9088600
2020-06-24,134.7444305419922,134.79401857442275,133.49641881734888,133.50467928562,11436500
2020-06-25,135.1329345703125,135.8354655744149,135.0502794128629,135.7197559208293,10968000
2020-06-26,136.5793914794922,136.63725264585167,135.6950287005488,135.75288986690828,12119300
2020-06-29,136.14956665039062,136.59588445094607,135.86029873879582,136.2487553901863,7274400
2020-06-30,135.48838806152344,136.6124306326938,135.11646489996676,136.56284255934122,14841700
2020-07-01,135.2252655029297,135.34111090035705,134.17437413799502,134.72050785138165,13181000
2020-07-02,135.3658447265625,135.489972830205,134.24876755093808,134.62939676591185,7599800
2020-07-06,134.81146240234375,134.8942144844431,133.84332364751748,134.32325794606464,7972700
2020-07-07,136.70639038085938,136.81395294707843,135.04316679559088,135.22521129374164,12791900
2020-07-08,136.16021728515625,136.46637720382154,135.56443776015874,135.96990268378536,7253900
2020-07-09,138.3282470703125,138.5599378087596,136.20165437252336,136.25130058416227,13373100
2020-07-10,137.63320922851562,139.18885825477838,137.49254071834102,138.97370778234546,8478000
2020-07-13,138.0882568359375,138.1544559794585,136.72292317493333,136.94634370604228,8054000
2020-07-14,138.2868194580078,139.1308426197683,138.17097413197746,138.95706831762595,11344600
2020-07-15,137.6414031982422,138.1461605735521,137.21939790132188,137.29386719615587,7840300
2020-07-16,138.29507446289062,138.82465479354218,138.22059256196522,138.51848228709366,9107400
2020-07-17,138.0054931640625,138.51852070053587,137.74897939582584,138.41095814926553,8549900
2020-07-20,138.3447723388672,138.70057853522863,138.02205940157825,138.60955629003453,6907200
2020-07-21,138.42758178710938,138.78340078956475,138.25381999328408,138.435864575712,8454400
2020-07-22,138.84121704101562,139.39563317703528,138.75847759807922,139.23012903877645,6592100
2020-07-23,140.46307373046875,140.5706489024264,139.41218298666496,139.7762719137273,10471800
2020-07-24,140.45484924316406,140.6037878747393,139.7349413119563,139.85078667858085,7520700
2020-07-27,139.9335174560547,140.91820923540695,139.8342250501355,140.87683319087526,6146400
2020-07-28,140.9016571044922,140.95130330773796,140.19830222198766,140.28932447000358,8520700
2020-07-29,140.66171264648438,140.9926957908428,139.82595937375328,140.71135885551837,6733700
2020-07-30,141.5884246826172,141.71254016061073,141.2905349092396,141.53877849141978,9376100
2020-07-31,141.4973907470703,141.87803255840564,140.62027443865347,140.79403609346477,8886000
2020-08-03,140.78497314453125,140.818115845464,139.97315393499423,140.19682292546145,9066200
2020-08-04,142.12698364257812,142.13526299822857,141.4228465649235,141.51397003802896,9878900
2020-08-05,140.88442993164062,141.29033333535125,140.56963738162787,140.8761379338568,6954100
2020-08-06,141.67138671875,142.69030378122991,141.34002284135528,141.9696078882855,9481800
2020-08-07,140.7270050048828,142.0689937876215,140.47848528653617,141.88674683684985,8176900
2020-08-10,140.09742736816406,141.0335128788442,140.0560179464698,141.00866216973222,6408500
2020-08-11,138.43243408203125,138.74722673775895,137.41351659144522,138.48213552446305,19234200
2020-08-12,137.17324829101562,137.57088503034888,136.67622132721237,137.26437179708256,11744800
2020-08-13,135.70700073242188,137.16496413829296,135.16853907348548,136.9412950602658,12744700
2020-08-14,135.1768035888672,135.98034366962005,135.1602448739736,135.6986938335443,6398100
